sentence A = Two men are doing a skit, which is very funny, with a boxer in front of a crowd of people.
sentence B = A rabbit is playing with a toy rabbit.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Man=,Entity+,IntentionalProcess+,Pretending+,Entity+,SubjectiveAssessmentAttribute+,SubjectiveStrongPositiveAttribute+,Boxer=,FrontFn=,SubjectiveAssessmentAttribute=,GroupOfPeople=
CONCEPTS B: Rabbit=,Entity+,DramaticActing+,RecreationOrExerciseDevice+,Rabbit=

CONLL A:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	Z|?|?
2	men	man	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	NNS|10287213-n|Man=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	VBP|02604760-v|Entity+
4	doing	do	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01712704-v|IntentionalProcess+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	DT|?|?
6	skit	skit	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	NN|00551508-n|Pretending+
7	,	,	PUNCT	,	fPOS=PUNCT++,	6	punct	_	Fc|?|?
8	which	which	PRON	WDT	PronType=Rel|fPOS=PRON++WDT	11	nsubj	_	WDT|?|?
9	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	11	cop	_	VBZ|02604760-v|Entity+
10	very	very	ADV	RB	fPOS=ADV++RB	11	advmod	_	RB|00031899-r|SubjectiveAssessmentAttribute+
11	funny	funny	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	6	acl:relcl	_	JJ|01265308-a|SubjectiveStrongPositiveAttribute+
12	,	,	PUNCT	,	fPOS=PUNCT++,	11	punct	_	Fc|?|?
13	with	with	ADP	IN	fPOS=ADP++IN	15	case	_	IN|?|?
14	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	15	det	_	DT|?|?
15	boxer	boxer	NOUN	NN	Number=Sing|fPOS=NOUN++NN	11	nmod	_	NN|09870208-n|Boxer=
16	in	in	ADP	IN	fPOS=ADP++IN	17	case	_	IN|?|?
17	front	front	NOUN	NN	Number=Sing|fPOS=NOUN++NN	15	nmod	_	NN|08573472-n|FrontFn=
18	of	of	ADP	IN	fPOS=ADP++IN	20	case	_	IN|?|?
19	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	20	det	_	DT|?|?
20	crowd	crowd	NOUN	NN	Number=Sing|fPOS=NOUN++NN	17	nmod	_	NN|08182379-n|SubjectiveAssessmentAttribute=
21	of	of	ADP	IN	fPOS=ADP++IN	22	case	_	IN|?|?
22	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	20	nmod	_	NNS|07942152-n|GroupOfPeople=
23	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	rabbit	rabbit	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|02324045-n|Rabbit=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01719302-v|DramaticActing+
5	with	with	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
7	toy	toy	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	compound	_	NN|03964744-n|RecreationOrExerciseDevice+
8	rabbit	rabbit	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|02324045-n|Rabbit=
9	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
