sentence A = There is no woman slicing a clove of garlic.
sentence B = A woman is slicing a clove of garlic.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Woman=,Separating+,FruitOrVegetable+,Garlic=
CONCEPTS B: Woman=,Entity+,Separating+,FruitOrVegetable+,Garlic=

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	?|?
4	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	10787470-n|Woman=
5	slicing	slice	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	01254477-v|Separating+
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	clove	clove	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	07814487-n|FruitOrVegetable+
8	of	of	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
9	garlic	garlic	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	07818277-n|Garlic=
10	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	10787470-n|Woman=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
4	slicing	slice	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01254477-v|Separating+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	?|?
6	clove	clove	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	07814487-n|FruitOrVegetable+
7	of	of	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
8	garlic	garlic	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	07818277-n|Garlic=
9	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
