sentence A = Oil is being poured into a skillet by the woman.
sentence B = A chimp is angrily kicking a target.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: Oil=,Entity+,Entity+,Pouring=,?,?,PotOrPan+,?,?,Woman=,?
CONCEPTS B: ?,Ape+,Entity+,EmotionalState+,Expressing+,?,Entity+,?

CONLL A:

1	Oil	oil	PRON	PRP	fPOS=SCONJ++IN	4	nsubjpass	_	14966667-n|Oil=
2	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
3	being	be	AUX	VBG	VerbForm=Ger|fPOS=AUX++VBG	4	auxpass	_	02604760-v|Entity+
4	poured	pour	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	0	ROOT	_	02069551-v|Pouring=
5	into	into	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	skillet	skillet	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	03400231-n|PotOrPan+
8	by	by	ADP	IN	fPOS=ADP++IN	10	case	_	?|?
9	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	10	det	_	?|?
10	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	10787470-n|Woman=
11	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	chimp	chimp	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	02481823-n|Ape+
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	02604760-v|Entity+
4	angrily	angrily	ADV	RB	fPOS=ADV++RB	5	advmod	_	00227323-r|EmotionalState+
5	kicking	kick	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	00907147-v|Expressing+
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	target	target	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	05981230-n|Entity+
8	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
