sentence A = There is no woman chopping up an octopus.
sentence B = A woman is chopping up an octopus.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: ?,Entity+,?,Woman=,Cutting+,Increasing+,?,Mollusk+,?
CONCEPTS B: ?,Woman=,Entity+,Cutting+,Increasing+,?,Mollusk+,?

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	?|?
4	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	10787470-n|Woman=
5	chopping	chop	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	01258091-v|Cutting+
6	up	up	ADP	RP	fPOS=ADP++IN	5	compound:prt	_	00097011-r|Increasing+
7	an	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	?|?
8	octopus	octopus	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	01970164-n|Mollusk+
9	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?
CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	10787470-n|Woman=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
4	chopping	chop	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01258091-v|Cutting+
5	up	up	ADP	RP	fPOS=ADP++IN	4	compound:prt	_	00097011-r|Increasing+
6	an	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	octopus	octopus	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	01970164-n|Mollusk+
8	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
