sentence A = A pair of kids are sticking out blue and green colored tongues.
sentence B = Two kids are sticking out blue and green colored tongues.
entailm AB = A_entails_B.
entailm BA = B_entails_A.

CONCEPTS A: Entity+,HumanChild=,Entity+,Attaching+,Giving+,SubjectiveStrongNegativeAttribute+,Green=,SurfaceChange+,Tongue=
CONCEPTS B: HumanChild=,Entity+,Attaching+,Giving+,SubjectiveStrongNegativeAttribute+,Green=,SurfaceChange+,Tongue=

CONLL A:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	pair	pair	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nsubj	_	13743605-n|Entity+
3	of	of	ADP	IN	fPOS=ADP++IN	4	case	_	?|?
4	kids	kid	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nmod	_	09917593-n|HumanChild=
5	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	6	aux	_	02604760-v|Entity+
6	sticking	stick	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01614581-v|Attaching+
7	out	out	ADP	RP	fPOS=ADP++RP	6	compound:prt	_	00233413-r|Giving+
8	blue	blue	NOUN	NN	Number=Sing|fPOS=NOUN++NN	12	compound	_	00425002-a|SubjectiveStrongNegativeAttribute+
9	and	and	CONJ	CC	fPOS=CONJ++CC	8	cc	_	?|?
10	green	green	ADJ	JJ	Mood=Imp|VerbForm=Fin|fPOS=VERB++VB	8	conj	_	00375969-a|Green=
11	colored	color	VERB	VBN	Degree=Pos|fPOS=ADJ++JJ	12	amod	_	00283911-v|SurfaceChange+
12	tongues	tongue	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	6	dobj	_	05301072-n|Tongue=
13	.	.	PUNCT	.	fPOS=PUNCT++.	6	punct	_	?|?


CONLL B:

1	Two	2	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	compound	_	?|?
2	kids	kid	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	09917593-n|HumanChild=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	sticking	stick	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01614581-v|Attaching+
5	out	out	ADP	RP	fPOS=ADP++RP	4	compound:prt	_	00233413-r|Giving+
6	blue	blue	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	10	amod	_	00425002-a|SubjectiveStrongNegativeAttribute+
7	and	and	CONJ	CC	fPOS=CONJ++CC	6	cc	_	?|?
8	green	green	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	6	conj	_	00375969-a|Green=
9	colored	color	VERB	VBN	Degree=Pos|fPOS=ADJ++JJ	10	amod	_	00283911-v|SurfaceChange+
10	tongues	tongue	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	dobj	_	05301072-n|Tongue=
11	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
