sentence A = Nobody is sitting in the chairs and watching the ocean.
sentence B = Two adults are sitting in the chairs and are watching the ocean.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: ?,PhysicalAttribute+,SittingDown+,?,?,Chair=,?,Looking=,?,Ocean=,?
CONCEPTS B: ?,FullyFormed+,PhysicalAttribute+,SittingDown+,?,?,Chair=,?,PhysicalAttribute+,Looking=,?,Ocean=,?

CONLL A:

1	Nobody	nobody	PROPN	NNP	Number=Sing|fPOS=NOUN++NN	3	nsubj	_	?|?
2	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	3	aux	_	02655135-v|PhysicalAttribute+
3	sitting	sit	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01543123-v|SittingDown+
4	in	in	ADP	IN	fPOS=ADP++IN	6	case	_	?|?
5	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	6	det	_	?|?
6	chairs	chair	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	3	nmod	_	03001627-n|Chair=
7	and	and	CONJ	CC	fPOS=CONJ++CC	3	cc	_	?|?
8	watching	watch	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	3	conj	_	02150948-v|Looking=
9	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	10	det	_	?|?
10	ocean	ocean	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	dobj	_	09376198-n|Ocean=
11	.	.	PUNCT	.	fPOS=PUNCT++.	3	punct	_	?|?
CONLL B:

1	Two	2	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	compound	_	?|?
2	adults	adult	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	09605289-n|FullyFormed+
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02655135-v|PhysicalAttribute+
4	sitting	sit	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01543123-v|SittingDown+
5	in	in	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
6	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	chairs	chair	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nmod	_	03001627-n|Chair=
8	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	?|?
9	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	10	aux	_	02655135-v|PhysicalAttribute+
10	watching	watch	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	4	conj	_	02150948-v|Looking=
11	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	12	det	_	?|?
12	ocean	ocean	NOUN	NN	Number=Sing|fPOS=NOUN++NN	10	dobj	_	09376198-n|Ocean=
13	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
