sentence A = There is no man cutting a paper plate.
sentence B = The man is cutting a paper plate.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Hominid=,Decreasing+,Paper=,PreparedFood+
CONCEPTS B: Hominid=,Entity+,Decreasing+,Paper=,PreparedFood+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	DT|?|?
4	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	NN|02472293-n|Hominid=
5	cutting	cut	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	VBG|00429060-v|Decreasing+
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
7	paper	paper	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	compound	_	NN|14974264-n|Paper=
8	plate	plate	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	NN|07579787-n|PreparedFood+
9	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|02472293-n|Hominid=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	cutting	cut	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	0	ROOT	_	VBG|00429060-v|Decreasing+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
6	paper	paper	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	compound	_	NN|14974264-n|Paper=
7	plate	plate	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	NN|07579787-n|PreparedFood+
8	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
