sentence A = There is no baby being put into a trash can by a woman.
sentence B = The baby is being put into a trash can by a woman.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,HumanBaby=,Entity+,Putting=,SubjectiveAssessmentAttribute+,Woman=
CONCEPTS B: HumanBaby=,Entity+,Entity+,Putting=,SubjectiveAssessmentAttribute+,Woman=

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	DT|?|?
4	baby	baby	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nsubjpass	_	NN|09827683-n|HumanBaby=
5	being	be	AUX	VBG	VerbForm=Ger|fPOS=VERB++VBG	6	auxpass	_	VBG|02604760-v|Entity+
6	put	put	VERB	VBN	Number=Sing|fPOS=NOUN++NN	2	ccomp	_	VBN|01494310-v|Putting=
7	into	into	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
8	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	DT|?|?
9	trash	trash	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	NN|08402147-n|SubjectiveAssessmentAttribute+
10	can	can	AUX	MD	Number=Sing|fPOS=NOUN++NN	6	xcomp	_	MD|?|?
11	by	by	ADP	IN	fPOS=ADP++IN	13	case	_	IN|?|?
12	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	13	det	_	DT|?|?
13	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	NN|10787470-n|Woman=
14	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	baby	baby	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubjpass	_	NN|09827683-n|HumanBaby=
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	VBZ|02604760-v|Entity+
4	being	be	AUX	VBG	VerbForm=Ger|fPOS=AUX++VBG	5	auxpass	_	VBG|02604760-v|Entity+
5	put	put	VERB	VBN	Tense=Past|VerbForm=Part|Voice=Pass|fPOS=VERB++VBN	0	ROOT	_	VBN|01494310-v|Putting=
6	into	into	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
8	trash	trash	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|08402147-n|SubjectiveAssessmentAttribute+
9	can	can	AUX	MD	Number=Sing|fPOS=NOUN++NN	5	nmod	_	MD|?|?
10	by	by	ADP	IN	fPOS=ADP++IN	12	case	_	IN|?|?
11	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	12	det	_	DT|?|?
12	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|10787470-n|Woman=
13	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?
