sentence A = Two people are riding a bike.
sentence B = A practicing jumper is tossing a person's snowboard into the air.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: GroupOfPeople=,Entity+,Transportation+,Bicycle=
CONCEPTS B: Position+,SocialRole+,Entity+,Removing+,Human=,BoardOrBlock+,AirTransportation+

CONLL A:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	Z|?|?
2	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	NNS|07942152-n|GroupOfPeople=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	VBP|02604760-v|Entity+
4	riding	ride	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|02102398-v|Transportation+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	DT|?|?
6	bike	bike	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	NN|02834778-n|Bicycle=
7	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	3	det	_	DT|?|?
2	practicing	practice	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	compound	_	VBG|02568672-v|Position+
3	jumper	jumper	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	NN|10226803-n|SocialRole+
4	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	5	aux	_	VBZ|02604760-v|Entity+
5	tossing	toss	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|02222318-v|Removing+
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	person	person	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod:poss	_	NN|00007846-n|Human=
8	's	's	PART	POS	fPOS=PART++POS	7	case	_	POS|?|?
9	snowboard	snowboard	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	NN|04251791-n|BoardOrBlock+
10	into	into	ADP	IN	fPOS=ADP++IN	12	case	_	IN|?|?
11	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	12	det	_	DT|?|?
12	air	air	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|00300441-n|AirTransportation+
13	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?
