sentence A = There are no children playing on a statue.
sentence B = Small children are climbing a statue in a park.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,HumanChild=,DramaticActing+,Sculpture+
CONCEPTS B: SubjectiveStrongNegativeAttribute+,HumanChild=,Entity+,Increasing+,Sculpture+,Park+

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	are	be	VERB	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBP	0	ROOT	_	VBP|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	DT|?|?
4	children	child	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nsubj	_	NNS|09917593-n|HumanChild=
5	playing	play	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	VBG|01719302-v|DramaticActing+
6	on	on	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
8	statue	statue	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|04306847-n|Sculpture+
9	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	Small	small	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	2	amod	_	JJ|01391351-a|SubjectiveStrongNegativeAttribute+
2	children	child	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	NNS|09917593-n|HumanChild=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	VBP|02604760-v|Entity+
4	climbing	climb	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|00433232-v|Increasing+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	DT|?|?
6	statue	statue	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	NN|04306847-n|Sculpture+
7	in	in	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
8	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	DT|?|?
9	park	park	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|08615374-n|Park+
10	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
