sentence A = There is no woman slicing potatoes.
sentence B = A woman is slicing potatoes.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: ?,Entity+,?,Woman=,Separating+,PotatoTuber=,?
CONCEPTS B: ?,Woman=,Entity+,Separating+,PotatoTuber=,?

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	6	neg	_	?|?
4	woman	woman	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	6	compound	_	10787470-n|Woman=
5	slicing	slice	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	compound	_	01254477-v|Separating+
6	potatoes	potato	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	2	nsubj	_	07710616-n|PotatoTuber=
7	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?
CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nsubj	_	10787470-n|Woman=
3	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	5	cop	_	02604760-v|Entity+
4	slicing	slice	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	5	amod	_	01254477-v|Separating+
5	potatoes	potato	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	0	ROOT	_	07710616-n|PotatoTuber=
6	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
