sentence A = Little boys are playing in a water fountain in front of lots of people.
sentence B = Children are playing in a fountain that is spraying water from the ground.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: SubjectiveStrongNegativeAttribute+,Human+,Entity+,DramaticActing+,?,?,Water=,Creek+,?,FrontFn=,?,SubjectiveAssessmentAttribute+,?,GroupOfPeople=,?
CONCEPTS B: HumanChild=,Entity+,DramaticActing+,?,?,Creek+,?,Entity+,Spraying=,Water=,?,?,LandArea=,?

CONLL A:

1	Little	little	PROPN	NNP	Degree=Pos|fPOS=ADJ++JJ	2	compound	_	01391351-a|SubjectiveStrongNegativeAttribute+
2	boys	boy	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	10285313-n|Human+
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01719302-v|DramaticActing+
5	in	in	ADP	IN	fPOS=ADP++IN	8	case	_	?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	?|?
7	water	water	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	compound	_	14845743-n|Water=
8	fountain	fountain	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	09443453-n|Creek+
9	in	in	ADP	IN	fPOS=ADP++IN	10	case	_	?|?
10	front	front	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nmod	_	08573472-n|FrontFn=
11	of	of	ADP	IN	fPOS=ADP++IN	12	case	_	?|?
12	lots	lot	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	10	nmod	_	13774404-n|SubjectiveAssessmentAttribute+
13	of	of	ADP	IN	fPOS=ADP++IN	14	case	_	?|?
14	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	12	nmod	_	07942152-n|GroupOfPeople=
15	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
CONLL B:

1	Children	child	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	3	nsubj	_	09917593-n|HumanChild=
2	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	3	aux	_	02604760-v|Entity+
3	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01719302-v|DramaticActing+
4	in	in	ADP	IN	fPOS=ADP++IN	6	case	_	?|?
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	?|?
6	fountain	fountain	NOUN	NN	Number=Sing|fPOS=NOUN++NN	3	nmod	_	09443453-n|Creek+
7	that	that	PRON	WDT	PronType=Rel|fPOS=PRON++WDT	9	nsubj	_	?|?
8	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	9	aux	_	02604760-v|Entity+
9	spraying	spray	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	6	acl:relcl	_	01372682-v|Spraying=
10	water	water	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	dobj	_	14845743-n|Water=
11	from	from	ADP	IN	fPOS=ADP++IN	13	case	_	?|?
12	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	13	det	_	?|?
13	ground	ground	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	09334396-n|LandArea=
14	.	.	PUNCT	.	fPOS=PUNCT++.	3	punct	_	?|?
