sentence A = Two small children are playing with a toy car in the street.
sentence B = A girl is pushing a go-kart and a daughter is watching her father.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: SubjectiveStrongNegativeAttribute+,HumanChild=,Entity+,DramaticActing+,RecreationOrExerciseDevice+,Automobile=,Roadway=
CONCEPTS B: BiologicalAttribute+,Entity+,Pushing=,PoweredVehicle+,BiologicalAttribute+,Entity+,Looking=,SocialRole+

CONLL A:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	3	nummod	_	Z|?|?
2	small	small	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	3	amod	_	JJ|01391351-a|SubjectiveStrongNegativeAttribute+
3	children	child	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nsubj	_	NNS|09917593-n|HumanChild=
4	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	5	aux	_	VBP|02604760-v|Entity+
5	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01719302-v|DramaticActing+
6	with	with	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	DT|?|?
8	toy	toy	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	compound	_	NN|03964744-n|RecreationOrExerciseDevice+
9	car	car	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|02958343-n|Automobile=
10	in	in	ADP	IN	fPOS=ADP++IN	12	case	_	IN|?|?
11	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	12	det	_	DT|?|?
12	street	street	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	NN|04334599-n|Roadway=
13	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	girl	girl	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|09992837-n|BiologicalAttribute+
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	pushing	push	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01871979-v|Pushing=
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	DT|?|?
6	go-kart	go-kart	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	NN|03444034-n|PoweredVehicle+
7	and	and	CONJ	CC	fPOS=CONJ++CC	4	cc	_	CC|?|?
8	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	9	det	_	DT|?|?
9	daughter	daughter	NOUN	NN	Number=Sing|fPOS=NOUN++NN	11	nsubj	_	NN|09992837-n|BiologicalAttribute+
10	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	11	aux	_	VBZ|02604760-v|Entity+
11	watching	watch	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	conj	_	VBG|02150948-v|Looking=
12	her	her	PRON	PRP$	Gender=Fem|Number=Sing|Person=3|Poss=Yes|PronType=Prs|fPOS=PRON++PRP$	13	nmod:poss	_	PRP$|?|?
13	father	father	NOUN	NN	Number=Sing|fPOS=NOUN++NN	11	dobj	_	NN|10107303-n|SocialRole+
14	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
