sentence A = Two children are playing on a statue.
sentence B = A climber is parking with the children by a small statue.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: ?,HumanChild=,Entity+,DramaticActing+,?,?,Sculpture+,?
CONCEPTS B: ?,FloweringPlant+,Entity+,Region+,?,?,HumanChild=,?,?,SubjectiveStrongNegativeAttribute+,Sculpture+,?

CONLL A:

1	Two	2	NUM	CD	Number=Sing|fPOS=NOUN++NN	2	nummod	_	?|?
2	children	child	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	09917593-n|HumanChild=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01719302-v|DramaticActing+
5	on	on	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	statue	statue	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	04306847-n|Sculpture+
8	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	climber	climber	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	13102409-n|FloweringPlant+
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	02604760-v|Entity+
4	parking	parking	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	13778671-n|Region+
5	with	with	ADP	IN	fPOS=ADP++IN	7	case	_	?|?
6	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	7	det	_	?|?
7	children	child	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nmod	_	09917593-n|HumanChild=
8	by	by	ADP	IN	fPOS=ADP++IN	11	case	_	?|?
9	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	11	det	_	?|?
10	small	small	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	11	amod	_	01391351-a|SubjectiveStrongNegativeAttribute+
11	statue	statue	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	04306847-n|Sculpture+
12	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
