sentence A = There is no cyclist performing a jump on a bicycle.
sentence B = A bicyclist is performing a trick over a heavily graphitized wall.
entailm AB = A_neutral_B.
entailm BA = B_contradicts_A.

CONCEPTS A: Entity+,Human+,IntentionalProcess+,Transportation+,Bicycle=
CONCEPTS B: Human+,Entity+,IntentionalProcess+,RecreationOrExercise+,SubjectiveAssessmentAttribute+,Wall=

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	DT|?|?
4	cyclist	cyclist	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	NN|09986189-n|Human+
5	performing	perform	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	VBG|01712704-v|IntentionalProcess+
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	jump	jump	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	NN|00303849-n|Transportation+
8	on	on	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
9	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	10	det	_	DT|?|?
10	bicycle	bicycle	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	NN|02834778-n|Bicycle=
11	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	bicyclist	bicyclist	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nsubj	_	NN|09986189-n|Human+
3	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	4	aux	_	VBZ|02604760-v|Entity+
4	performing	perform	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01712704-v|IntentionalProcess+
5	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	DT|?|?
6	trick	trick	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	dobj	_	NN|00427580-n|RecreationOrExercise+
7	over	over	ADP	IN	fPOS=ADP++IN	11	case	_	IN|?|?
8	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	11	det	_	DT|?|?
9	heavily	heavily	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	11	amod	_	RB|00508657-r|SubjectiveAssessmentAttribute+
10	graphitized	graphitized	VERB	VBN	Tense=Past|VerbForm=Part|fPOS=VERB++VBN	11	amod	_	VBN|?|?
11	wall	wall	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|04546855-n|Wall=
12	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?
