sentence A = Little kids are playing in a water fountain in front of lots of people.
sentence B = Animals are playing in fountains that spray water from the ground.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: SubjectiveStrongNegativeAttribute+,HumanChild=,Entity+,DramaticActing+,Water=,Creek+,FrontFn=,SubjectiveAssessmentAttribute+,GroupOfPeople=
CONCEPTS B: Animal=,Entity+,DramaticActing+,Creek+,Device+,Water=,LandArea=

CONLL A:

1	Little	little	PROPN	NNP	Degree=Pos|fPOS=ADJ++JJ	2	amod	_	JJ|01391351-a|SubjectiveStrongNegativeAttribute+
2	kids	kid	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	NNS|09917593-n|HumanChild=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	VBP|02604760-v|Entity+
4	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01719302-v|DramaticActing+
5	in	in	ADP	IN	fPOS=ADP++IN	8	case	_	IN|?|?
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	8	det	_	DT|?|?
7	water	water	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	compound	_	NN|14845743-n|Water=
8	fountain	fountain	NOUN	NN	Number=Sing|fPOS=NOUN++NN	4	nmod	_	NN|09443453-n|Creek+
9	in	in	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
10	front	front	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nmod	_	NN|08573472-n|FrontFn=
11	of	of	ADP	IN	fPOS=ADP++IN	12	case	_	IN|?|?
12	lots	lot	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	10	nmod	_	NNS|13774404-n|SubjectiveAssessmentAttribute+
13	of	of	ADP	IN	fPOS=ADP++IN	14	case	_	IN|?|?
14	people	people	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	12	nmod	_	NNS|07942152-n|GroupOfPeople=
15	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	Fp|?|?


CONLL B:

1	Animals	animal	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	3	nsubj	_	NNS|00015388-n|Animal=
2	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	3	aux	_	VBP|02604760-v|Entity+
3	playing	play	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01719302-v|DramaticActing+
4	in	in	ADP	IN	fPOS=ADP++IN	5	case	_	IN|?|?
5	fountains	fountain	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	3	nmod	_	NNS|09443453-n|Creek+
6	that	that	DET	DT	PronType=Rel|fPOS=PRON++WDT	8	det	_	IN|?|?
7	spray	spray	NOUN	NN	fPOS=DET++DT	8	compound	_	NN|02754103-n|Device+
8	water	water	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	NN|14845743-n|Water=
9	from	from	ADP	IN	fPOS=ADP++IN	11	case	_	IN|?|?
10	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	11	det	_	DT|?|?
11	ground	ground	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|09334396-n|LandArea=
12	.	.	PUNCT	.	fPOS=PUNCT++.	3	punct	_	Fp|?|?
