sentence A = Two teenage girls are wearing fancy dresses at an event.
sentence B = Two old ladies are wearing worn dresses at home.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: age+,Human+,Entity+,Putting+,SubjectiveStrongPositiveAttribute+,Clothing+,Process=
CONCEPTS B: SubjectiveAssessmentAttribute+,Human+,Entity+,CoveringFn=,CoveringFn=,Clothing+,Address+

CONLL A:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	3	nummod	_	Z|?|?
2	teenage	teenage	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	3	compound	_	JJ|01647983-a|age+
3	girls	girl	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nsubj	_	NNS|10129825-n|Human+
4	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBP	5	aux	_	VBP|02604760-v|Entity+
5	wearing	wear	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|00052374-v|Putting+
6	fancy	fancy	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	amod	_	JJ|01794340-a|SubjectiveStrongPositiveAttribute+
7	dresses	dress	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	dobj	_	NNS|02728440-n|Clothing+
8	at	at	ADP	IN	fPOS=ADP++IN	10	case	_	IN|?|?
9	an	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	10	det	_	DT|?|?
10	event	event	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|00029378-n|Process=
11	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?


CONLL B:

1	Two	2	NOUN	NN	NumType=Card|fPOS=NUM++CD	3	compound	_	Z|?|?
2	old	old	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	3	amod	_	JJ|01643620-a|SubjectiveAssessmentAttribute+
3	ladies	lady	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nsubj	_	NNS|09989290-n|Human+
4	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	5	aux	_	VBP|02604760-v|Entity+
5	wearing	wear	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|00047745-v|CoveringFn=
6	worn	wear	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	amod	_	VBN|00047745-v|CoveringFn=
7	dresses	dress	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	dobj	_	NNS|02728440-n|Clothing+
8	at	at	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
9	home	home	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	NN|08559508-n|Address+
10	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	Fp|?|?
