sentence A = There is no woman driving a car and talking to the man seated beside her.
sentence B = The woman and the man are travelling by car.
entailm AB = A_entails_B.
entailm BA = B_neutral_A.

CONCEPTS A: Entity+,Woman=,Transportation+,Automobile=,Speaking+,Man=,Communication+
CONCEPTS B: Woman=,Man=,Entity+,Transportation=,Automobile=

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	EX|?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	VBZ|02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	4	neg	_	DT|?|?
4	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	NN|10787470-n|Woman=
5	driving	drive	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	4	acl	_	VBG|01930874-v|Transportation+
6	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	7	det	_	DT|?|?
7	car	car	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	dobj	_	NN|02958343-n|Automobile=
8	and	and	CONJ	CC	fPOS=CONJ++CC	5	cc	_	CC|?|?
9	talking	talk	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	5	conj	_	VBG|00941990-v|Speaking+
10	to	to	ADP	IN	fPOS=ADP++IN	12	case	_	TO|?|?
11	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	12	det	_	DT|?|?
12	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	NN|10287213-n|Man=
13	seated	seat	VERB	VBN	Tense=Past|VerbForm=Part|fPOS=VERB++VBN	12	acl	_	VBN|01543998-v|Communication+
14	beside	beside	ADP	IN	VerbForm=Ger|fPOS=VERB++VBG	15	case	_	IN|?|?
15	her	her	PRON	PRP	Case=Acc|Gender=Fem|Number=Sing|Person=3|PronType=Prs|fPOS=PRON++PRP	13	nmod	_	PRP$|?|?
16	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	Fp|?|?


CONLL B:

1	The	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	2	det	_	DT|?|?
2	woman	woman	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nsubj	_	NN|10787470-n|Woman=
3	and	and	CONJ	CC	fPOS=CONJ++CC	2	cc	_	CC|?|?
4	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	5	det	_	DT|?|?
5	man	man	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	conj	_	NN|10287213-n|Man=
6	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	7	aux	_	VBP|02604760-v|Entity+
7	travelling	travel	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	VBG|01835496-v|Transportation=
8	by	by	ADP	IN	fPOS=ADP++IN	9	case	_	IN|?|?
9	car	car	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	NN|02958343-n|Automobile=
10	.	.	PUNCT	.	fPOS=PUNCT++.	7	punct	_	Fp|?|?
